InstanceName	InstancePath	Time	LimitTime	Objective	status	nbNodes
instance4	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.4_rdd_0.4_mMax_1_m0_1/instance4.txt	0.0109015	600	0	Optimal	0
instance0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.4_rdd_0.6_mMax_1_m0_1/instance0.txt	0.0115743	600	0	Optimal	0
instance1	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.4_rdd_0.6_mMax_1_m0_1/instance1.txt	0.0130753	600	1	Optimal	0
instance2	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.4_rdd_0.6_mMax_1_m0_1/instance2.txt	0.0151031	600	5	Optimal	0
instance3	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.4_rdd_0.6_mMax_1_m0_1/instance3.txt	0.014481	600	0	Optimal	0
instance4	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.4_rdd_0.6_mMax_1_m0_1/instance4.txt	0.0129839	600	5	Optimal	0
instance0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.4_rdd_0.8_mMax_1_m0_1/instance0.txt	0.0175939	600	1	Optimal	0
instance1	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.4_rdd_0.8_mMax_1_m0_1/instance1.txt	0.0150154	600	3	Optimal	0
instance2	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.4_rdd_0.8_mMax_1_m0_1/instance2.txt	0.0118717	600	0	Optimal	0
instance3	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.4_rdd_0.8_mMax_1_m0_1/instance3.txt	0.0174939	600	1	Optimal	0
instance4	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.4_rdd_0.8_mMax_1_m0_1/instance4.txt	0.0113257	600	2	Optimal	0
instance0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.4_rdd_1.0_mMax_1_m0_1/instance0.txt	0.0138773	600	0	Optimal	0
instance1	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.4_rdd_1.0_mMax_1_m0_1/instance1.txt	0.0131421	600	2	Optimal	0
instance2	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.4_rdd_1.0_mMax_1_m0_1/instance2.txt	0.0113579	600	1	Optimal	0
instance3	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.4_rdd_1.0_mMax_1_m0_1/instance3.txt	0.0099329	600	0	Optimal	0
instance4	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.4_rdd_1.0_mMax_1_m0_1/instance4.txt	0.0145287	600	1	Optimal	0
instance0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.6_rdd_0.2_mMax_1_m0_1/instance0.txt	0.011917	600	11	Optimal	0
instance1	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.6_rdd_0.2_mMax_1_m0_1/instance1.txt	0.00799215	600	10	Optimal	0
instance2	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.6_rdd_0.2_mMax_1_m0_1/instance2.txt	0.0114242	600	11	Optimal	0
instance3	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.6_rdd_0.2_mMax_1_m0_1/instance3.txt	0.0123851	600	8	Optimal	0
